baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2534.82250588866	5.82435603562126	0.143282359176027	40.6494984387146	0	0
ENSMUSG00000025608.9	3979.07613597351	8.29964208394988	0.196105591661316	42.3223122484124	0	0
ENSMUSG00000045545.8	3712.02035923136	9.1189902900627	0.238913720780512	38.1685499697199	0	0
ENSMUSG00000047586.4	2198.8307092068	7.42590725257828	0.196110897591049	37.8658572460544	0	0
ENSMUSG00000054889.10	6184.98643908409	4.64135102989272	0.112416736519677	41.287010934358	0	0
ENSMUSG00000097767.8	3723.60738315753	6.58679268309328	0.150830850686687	43.6700625442713	0	0
ENSMUSG00000030693.10	1124.95159225791	5.46152365082263	0.148998257400433	36.6549498370627	3.81622164596654e-294	1.08805930871715e-290
ENSMUSG00000037820.15	3554.73233057821	4.02128907369807	0.110431596167057	36.4142982015294	2.52847062732952e-290	6.30790209753033e-287
ENSMUSG00000024406.16	2088.90339535915	4.47621384461962	0.123314286426127	36.2992316166152	1.66371553700987e-288	3.68938163196033e-285
ENSMUSG00000053797.10	2118.455782286	7.9594536011291	0.220960682999343	36.0220356539754	3.78084940538635e-284	7.54581924327008e-281
ENSMUSG00000020758.15	5725.6397317001	4.2468511607635	0.118722649192914	35.7711960576514	3.09837571638842e-280	5.62158023160729e-277
ENSMUSG00000027375.14	3464.13295139065	5.74740083851512	0.162579135698531	35.3514048024739	9.53983947237517e-274	1.58663430158053e-270
ENSMUSG00000047281.3	967.883776844249	5.25666041347676	0.149725975602161	35.1085400668505	4.99349910429333e-270	7.66617347103741e-267
ENSMUSG00000056602.12	1072.77547196854	5.38927597985731	0.153869590378278	35.024958255937	9.38275883224534e-269	1.33757929124252e-265
ENSMUSG00000037185.9	1295.90423291918	4.99047889547909	0.144112381681984	34.6290779267787	9.22616221252862e-263	1.22757163625098e-259
ENSMUSG00000026413.12	1508.52804717544	5.49475570586931	0.164083543278891	33.4875490623086	7.31631636979531e-246	9.12619013177343e-243
ENSMUSG00000031995.9	1151.68620566474	6.00066298972216	0.181910355624893	32.9869235267495	1.2509093590169e-238	1.46856758748584e-235
ENSMUSG00000019102.10	3854.00154204872	3.74828303330421	0.119483956260239	31.3705969455878	5.09636605765746e-216	5.65073743215153e-213
ENSMUSG00000074796.10	808.348518180932	4.26842345054384	0.13621708392197	31.3354487384926	1.53581928158622e-215	1.61325690641568e-212
ENSMUSG00000028435.8	912.920636736178	6.25638275275124	0.199772980391892	31.3174621536816	2.6995711364537e-215	2.69390203706715e-212
ENSMUSG00000034282.3	1142.31973138873	6.82489650924805	0.218354196920953	31.256081199661	1.84573508321547e-214	1.75415146622926e-211
ENSMUSG00000063450.14	1815.1650989264	3.44235109213645	0.110283561772885	31.2136372528985	6.95850333229915e-214	6.31262770481938e-211
ENSMUSG00000042793.13	902.361910644318	4.18401281640578	0.134899611526399	31.0157514099809	3.30591564222661e-211	2.86867236467647e-208
ENSMUSG00000049382.10	5348.6671569391	10.8587374875521	0.354107290107793	30.6651057204912	1.66229199551119e-206	1.38233431860051e-203
ENSMUSG00000022871.13	995.78110182029	6.64656454559401	0.222472228728359	29.8759291601719	4.04363861111548e-196	3.22811757602571e-193
ENSMUSG00000020788.15	1916.10209312735	8.81730271850117	0.299169279493844	29.4726207631309	6.46022680637924e-191	4.95896948468142e-188
ENSMUSG00000025432.11	1123.05888055545	6.44802661297507	0.220228068226537	29.2788592521382	1.92779663804724e-188	1.42499871489432e-185
ENSMUSG00000061126.5	1435.87824936636	8.11879150683472	0.277356729501316	29.2720191842188	2.35574448789577e-188	1.67914101747942e-185
ENSMUSG00000060716.7	763.473138003184	6.72924005225058	0.240136306074482	28.0225850153762	8.62369842735653e-173	5.93488873148902e-170
ENSMUSG00000003153.10	936.691440556363	4.75994671513722	0.170890406344718	27.8537971612959	9.68905879262818e-171	6.44580784610911e-168
ENSMUSG00000048699.4	2227.48177744002	9.59285386532082	0.346774070073675	27.6631233220025	1.94042213457558e-168	1.24925628909224e-165
